row_number,hubmap_tissue_block_id,comments
853,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
855,HBM828.FDRM.746,401 Unauthorized: No Authorization header
856,HBM583.HWZC.364,401 Unauthorized: No Authorization header
857,HBM796.XJWH.729,401 Unauthorized: No Authorization header
859,HBM996.SDNT.327,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM996.SDNT.327
861,HBM996.SDNT.327,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM996.SDNT.327
862,HBM633.CHDG.392,401 Unauthorized: No Authorization header
864,HBM848.PRTH.942,401 Unauthorized: No Authorization header
867,HBM529.CXVH.794,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM529.CXVH.794
868,HBM427.GLTD.448,401 Unauthorized: No Authorization header
869,HBM838.FRWC.772,401 Unauthorized: No Authorization header
871,HBM763.BTMG.534,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM763.BTMG.534
872,HBM397.BXSZ.439,401 Unauthorized: No Authorization header
875,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
879,HBM996.XSFS.465,401 Unauthorized: No Authorization header
881,HBM975.TVTP.828,401 Unauthorized: No Authorization header
883,HBM872.VTRJ.863,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM872.VTRJ.863
884,HBM242.CWQM.323,401 Unauthorized: No Authorization header
885,HBM752.DHVB.758,401 Unauthorized: No Authorization header
886,HBM385.MVFS.563,401 Unauthorized: No Authorization header
887,HBM269.WTVL.357,401 Unauthorized: No Authorization header
888,HBM638.HSFV.957,401 Unauthorized: No Authorization header
890,HBM447.JLND.596,401 Unauthorized: No Authorization header
891,HBM828.TGWJ.474,401 Unauthorized: No Authorization header
895,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
898,HBM975.TVTP.828,401 Unauthorized: No Authorization header
899,HBM798.ZZBP.697,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM798.ZZBP.697
902,HBM744.DVKT.694,401 Unauthorized: No Authorization header
903,HBM338.VMRG.486,401 Unauthorized: No Authorization header
905,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
907,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
910,HBM439.RKPP.789,401 Unauthorized: No Authorization header
911,HBM664.CMGH.349,401 Unauthorized: No Authorization header
912,HBM736.NQNZ.734,401 Unauthorized: No Authorization header
914,HBM852.NHMT.774,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM852.NHMT.774
915,HBM695.BKXQ.562,401 Unauthorized: No Authorization header
917,HBM487.SNFK.855,401 Unauthorized: No Authorization header
918,HBM968.BQKK.975,401 Unauthorized: No Authorization header
920,HBM798.ZZBP.697,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM798.ZZBP.697
922,HBM975.TVTP.828,401 Unauthorized: No Authorization header
923,HBM935.BPZZ.984,401 Unauthorized: No Authorization header
924,HBM935.BPZZ.984,401 Unauthorized: No Authorization header
925,HBM337.KBLS.364,401 Unauthorized: No Authorization header
927,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
929,HBM638.GGCQ.252,401 Unauthorized: No Authorization header
930,HBM326.SRTD.984,401 Unauthorized: No Authorization header
931,HBM557.PWFN.956,401 Unauthorized: No Authorization header
932,HBM827.CBML.724,401 Unauthorized: No Authorization header
935,HBM332.VDBW.894,401 Unauthorized: No Authorization header
936,HBM539.LXKF.934,401 Unauthorized: No Authorization header
938,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
940,HBM588.VWJV.826,401 Unauthorized: No Authorization header
941,HBM998.VHPF.947,401 Unauthorized: No Authorization header
946,HBM326.SRTD.984,401 Unauthorized: No Authorization header
947,HBM288.DVGK.364,401 Unauthorized: No Authorization header
948,HBM574.LFRK.262,401 Unauthorized: No Authorization header
951,HBM439.XLQC.765,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM439.XLQC.765
954,HBM888.FGRH.569,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM888.FGRH.569
955,HBM222.SQKD.292,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM222.SQKD.292
957,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
960,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
964,HBM763.BTMG.534,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM763.BTMG.534
965,HBM624.HGGF.297,401 Unauthorized: No Authorization header
966,HBM998.VHPF.947,401 Unauthorized: No Authorization header
968,HBM674.NJDT.733,401 Unauthorized: No Authorization header
969,HBM757.NMDS.629,401 Unauthorized: No Authorization header
973,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
974,HBM583.HWZC.364,401 Unauthorized: No Authorization header
975,HBM796.XJWH.729,401 Unauthorized: No Authorization header
979,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
980,HBM556.CFNP.485,401 Unauthorized: No Authorization header
981,HBM589.TRHK.898,401 Unauthorized: No Authorization header
982,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
984,HBM255.XXFK.472,401 Unauthorized: No Authorization header
988,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
989,HBM865.GDDB.632,401 Unauthorized: No Authorization header
992,HBM763.BTMG.534,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM763.BTMG.534
993,HBM664.CMGH.349,401 Unauthorized: No Authorization header
