dataset_id,dataset_id_for_rui,organ,rui_location_annotations_json,rui_location_annotations_Lu,list_of_colliding_AS
HBM764.ZCQR.585.csv,HBM764.ZCQR.585,VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_R_a|VH_F_renal_column_R|VH_F_outer_cortex_of_kidney_R
18-312.csv,18-312,,,,
HBM574.NFCS.842.csv,HBM574.NFCS.842,VHMRightKidney,http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0004200,VH_M_renal_pyramid_d|VH_M_renal_papilla_R_d|VH_M_renal_column_R
HBM578.SRZG.769.csv,HBM578.SRZG.769,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227|http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0002015,VH_M_kidney_capsule_L|VH_M_outer_cortex_of_kidney_L
HBM537.LTFK.379.csv,HBM537.LTFK.379,VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0008716|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001226|http://purl.obolibrary.org/obo/UBERON_0001227,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0002015,VH_F_kidney_capsule_R|VH_F_outer_cortex_of_kidney_R
HBM982.TPNQ.737.csv,HBM982.TPNQ.737,VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002189,VH_F_outer_cortex_of_kidney_L
HBM432.BPZM.698.csv,HBM432.BPZM.698,VHMLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227|http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0008716|http://purl.obolibrary.org/obo/UBERON_0004200,VH_M_renal_column_L|VH_M_renal_pyramid_L_e|VH_M_outer_cortex_of_kidney_L|VH_M_hilum_of_kidney_L
HBM375.ZKZZ.765.csv,HBM375.ZKZZ.765,VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002015|http://purl.obolibrary.org/obo/UBERON_0001225|http://purl.obolibrary.org/obo/UBERON_0002189|http://purl.obolibrary.org/obo/UBERON_0000362|http://purl.obolibrary.org/obo/UBERON_0001228|http://purl.obolibrary.org/obo/UBERON_0004200|http://purl.obolibrary.org/obo/UBERON_0001284|http://purl.obolibrary.org/obo/UBERON_0006517|http://purl.obolibrary.org/obo/UBERON_0001227,http://purl.obolibrary.org/obo/UBERON_0004200,VH_F_renal_pyramid_L_a
18-162.csv,18-162,,,,
celltype_l2.csv,celltype_l2,,,,
celltype_l1.csv,celltype_l1,,,,
!rui_block1,!rui_block1,VHFPelvis,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0002483|http://purl.obolibrary.org/obo/UBERON_0001273,http://purl.obolibrary.org/obo/UBERON_0002483,VH_F_ilium_spongy_bone_L
!rui_block2,!rui_block2,VHMPelvis,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0003690|http://purl.obolibrary.org/obo/UBERON_0002483|http://purl.obolibrary.org/obo/UBERON_0001273,http://purl.obolibrary.org/obo/UBERON_0001439|http://purl.obolibrary.org/obo/UBERON_0002483,VH_M_ilium_spongy_bone_L|VH_M_ilium_compact_bone_L
!rui_block3,!rui_block3,VHMPelvis,http://purl.obolibrary.org/obo/UBERON_0013702|http://purl.obolibrary.org/obo/UBERON_0003690|http://purl.obolibrary.org/obo/UBERON_0002483|http://purl.obolibrary.org/obo/UBERON_0001273,http://purl.obolibrary.org/obo/UBERON_0001439|http://purl.obolibrary.org/obo/UBERON_0002483,VH_M_ilium_spongy_bone_L|VH_M_ilium_compact_bone_L
